date	New York	San Francisco
20111001	63.4	-65.31
20111002	58	-64.42
20111003	53.3	-66.47
20111004	55.7	-65.22
20111005	64.2	-66.69
20111006	58.8	-64.72
20111007	57.9	-64.66
20111008	61.8	-78
20111009	69.3	-76
20111010	71.2	-78
20111011	68.7	-73
20111012	61.8	-70
20111013	63	-73
20111014	66.9	-73
20111015	61.7	-76
20111016	61.8	-75
20111017	62.8	-75
20111018	60.8	-75
20111019	62.1	-74
20111020	65.1	-74
20111021	55.6	-73
20111022	54.4	-75
20111023	54.4	-73
20111024	54.8	-73
20111025	57.9	-73
20111026	54.6	-75
20111027	54.4	-75
20111028	42.5	-75
20111029	40.9	-75
20111030	38.6	-73
20111031	44.2	-75
20111101	49.6	-74
20111102	47.2	-74
20111103	50.1	-75
20111104	50.1	-74
20111105	43.5	-76
20111106	43.8	-75
20111107	48.9	-72
20111108	55.5	-72
20111109	53.7	-74
20111110	57.7	-74
20111111	48.5	-73
20111112	46.8	-72
20111113	51.1	-73
20111114	56.8	-68
20111115	59.7	-72
20111116	56.5	-71
20111117	49.6	-74
20111118	41.5	0
20111119	44.3	-72
20111120	54	-73
20111121	54.1	-72
20111122	49.4	-72
20111123	50	-71
20111124	44	-73
20111125	50.3	-73
20111126	52.1	-72
20111127	49.6	-72
20111128	57.2	-72.5
20111129	59.1	-70
20111130	50.6	-71.4
20111201	44.3	-71
20111202	43.9	-70
20111203	42.1	-71.2
20111204	43.9	-73.8
20111205	50.2	-74
20111206	54.2	-71
20111207	54.6	-70
20111208	43.4	-68
20111209	42.2	-68
20111210	45	-68
20111211	33.8	-67
20111212	36.8	-67
20111213	38.6	-65
20111214	41.9	-66
20111215	49.6	-66
20111216	50.2	-66.11
20111217	40.6	-67
20111218	29.1	-69
20111219	33.7	-67
20111220	45.8	-66.37
20111221	47.4	-65.19
20111222	54.4	-66.22
20111223	47.8	-66.67
20111224	34.9	-64.1
20111225	35.9	-65.7
20111226	43.6	-65.5
20111227	42.9	-63.8
20111228	46.2	-67
20111229	30.8	-67
20111230	40.8	-67
20111231	49.8	-66
20120101	46.3	-66
20120102	43.2	-66
20120103	30.3	-65.4
20120104	19.2	-65.4
20120105	32.1	-66.79
20120106	41.2	-64.88
20120107	47	-64
20120108	46	-65
20120109	34.7	-65
20120110	39.4	-65
20120111	40.4	-64.45
20120112	45.4	-64.65
20120113	40.7	-65.3
20120114	30.4	-62.55
20120115	23.9	-64
20120116	22.6	-65
20120117	39.8	-65
20120118	43.2	-65
20120119	26.3	-65
20120120	32.8	-66
20120121	27.4	-66
20120122	25	-66
20120123	39.4	-66
20120124	48.7	-67
20120125	43	-66
20120126	37.1	-66.7
20120127	48.2	-65.61
20120128	43.7	-66.25
20120129	40.1	-66.6
20120130	38	-67.3
20120131	43.5	-67
20120201	50.4	-68
20120202	45.8	-67
20120203	37.5	-66
20120204	40.8	-68
20120205	36.5	-68.3
20120206	39.1	-67
20120207	43.2	-67.1
20120208	36.5	-68
20120209	36.5	-66.16
20120210	38.3	-70
20120211	36.9	-70.76
20120212	29.7	-70
20120213	33.1	-69.98
20120214	39.6	-70.5
20120215	42.3	-70.65
20120216	39.7	-69.26
20120217	46	-69.47
20120218	41.2	-69.75
20120219	39.8	-70.1
20120220	38.1	-71.6
20120221	37.1	-70
20120222	45.5	-71
20120223	50.6	-68.25
20120224	42.7	-69.05
20120225	42.6	-67.15
20120226	36.9	-68.13
20120227	40.9	-69.65
20120228	45.9	-69.15
20120229	40.7	-71.15
20120301	41.3	-71
20120302	36.8	-75
20120303	47.6	-102
20120304	44.2	-114
20120305	38.5	-87
20120306	32.9	-71
20120307	43.3	-72
20120308	51.2	-73
20120309	47.8	-71
20120310	37.2	-71
20120311	42.9	-71
20120312	48.8	-72
20120313	52.6	-72
20120314	60.5	-77
20120315	47.2	-73
20120316	44.7	-74
20120317	48.2	-74
20120318	48.2	-71
20120319	53.1	-75
20120320	57.8	-74
20120321	57.5	-75
20120322	57.3	-72
20120323	61.7	-74
20120324	55.8	-75
20120325	48.4	-75
20120326	49.8	-74
20120327	39.6	-75
20120328	49.7	-74
20120329	56.8	-76
20120330	46.5	-75
20120331	42.2	-76
20120401	45.3	-76
20120402	48.1	-77
20120403	51.2	-77
20120404	61	-77
20120405	50.7	-75
